"","Group.1","Group.2","x","year"
"335","Takeaway","E06000013",1.624166246,2010
"336","Tea","E06000013",0.210439934,2010
"337","Tobacco","E06000013",1.932565729,2010
"338","Vegtables","E06000013",3.163592024,2010
"339","Alcohol at home","E06000014",3.220325828,2010
"340","Alcohol away from home","E06000014",3.26350911,2010
"341","Bread","E06000014",1.84594958,2010
"342","Butter","E06000014",0.164531689,2010
"343","Cakes puddings and pastry","E06000014",0.893646045,2010
"344","Coffee","E06000014",0.264137359,2010
"345","Eating out","E06000014",8.52084744,2010
"346","Eggs","E06000014",0.275873546,2010
"347","Fish","E06000014",0.982931066,2010
"348","Fruit","E06000014",1.713612748,2010
"349","Milk products","E06000014",2.665683779,2010
"350","Non alcoholic drinks","E06000014",1.290628962,2010
"351","Oils and fats","E06000014",0.336750238,2010
"352","Other","E06000014",1.199396561,2010
"353","Pasta","E06000014",0.173921246,2010
"354","Poultry","E06000014",0.808299929,2010
"355","Processed and Other Meat","E06000014",0.006365743,2010
"356","Processed Meat","E06000014",2.786354929,2010
"357","Red Meat","E06000014",1.258647487,2010
"358","Rice","E06000014",0.126248621,2010
"359","Sauces and spices","E06000014",0.082005186,2010
"360","Sugar confectionary and jam","E06000014",1.499203874,2010
"361","Takeaway","E06000014",1.685859227,2010
"362","Tea","E06000014",0.206430456,2010
"363","Tobacco","E06000014",1.938212143,2010
"364","Vegtables","E06000014",3.09771722,2010
"365","Alcohol at home","E06000015",2.908800702,2010
"366","Alcohol away from home","E06000015",2.839679914,2010
"367","Bread","E06000015",1.759918543,2010
"368","Butter","E06000015",0.150247616,2010
"369","Cakes puddings and pastry","E06000015",0.845173062,2010
"370","Coffee","E06000015",0.242761757,2010
"371","Eating out","E06000015",8.246613901,2010
"372","Eggs","E06000015",0.268481588,2010
"373","Fish","E06000015",0.935869565,2010
"374","Fruit","E06000015",1.692145672,2010
"375","Milk products","E06000015",2.554837575,2010
"376","Non alcoholic drinks","E06000015",1.287377266,2010
"377","Oils and fats","E06000015",0.342234667,2010
"378","Other","E06000015",1.171525144,2010
"379","Pasta","E06000015",0.178297639,2010
"380","Poultry","E06000015",0.811252933,2010
"381","Processed and Other Meat","E06000015",0.008488016,2010
"382","Processed Meat","E06000015",2.531468619,2010
"383","Red Meat","E06000015",1.216616023,2010
"384","Rice","E06000015",0.171496938,2010
"385","Sauces and spices","E06000015",0.091246162,2010
"386","Sugar confectionary and jam","E06000015",1.435633679,2010
"387","Takeaway","E06000015",1.705031697,2010
"388","Tea","E06000015",0.194681997,2010
"389","Tobacco","E06000015",1.785468583,2010
"390","Vegtables","E06000015",3.023912897,2010
"391","Alcohol at home","E06000016",2.11099738,2010
"392","Alcohol away from home","E06000016",2.005690695,2010
"393","Bread","E06000016",1.520648037,2010
"394","Butter","E06000016",0.124560144,2010
"395","Cakes puddings and pastry","E06000016",0.705679047,2010
"396","Coffee","E06000016",0.204529696,2010
"397","Eating out","E06000016",7.289467283,2010
"398","Eggs","E06000016",0.251631007,2010
"399","Fish","E06000016",0.822371887,2010
"400","Fruit","E06000016",1.613344549,2010
"401","Milk products","E06000016",2.229122195,2010
"402","Non alcoholic drinks","E06000016",1.211745802,2010
"403","Oils and fats","E06000016",0.347589855,2010
"404","Other","E06000016",1.041266845,2010
"405","Pasta","E06000016",0.174350479,2010
"406","Poultry","E06000016",0.812618521,2010
"407","Processed and Other Meat","E06000016",0.012473302,2010
"408","Processed Meat","E06000016",1.904696601,2010
"409","Red Meat","E06000016",1.132939258,2010
"410","Rice","E06000016",0.271993466,2010
"411","Sauces and spices","E06000016",0.106207898,2010
"412","Sugar confectionary and jam","E06000016",1.245972105,2010
"413","Takeaway","E06000016",1.751324099,2010
"414","Tea","E06000016",0.167250296,2010
"415","Tobacco","E06000016",1.486148023,2010
"416","Vegtables","E06000016",2.782478974,2010
"417","Alcohol at home","E06000017",3.575021075,2010
"418","Alcohol away from home","E06000017",3.269441771,2010
"419","Bread","E06000017",2.017626781,2010
"420","Butter","E06000017",0.187317385,2010
"421","Cakes puddings and pastry","E06000017",0.970294185,2010
"422","Coffee","E06000017",0.30300765,2010
"423","Eating out","E06000017",8.951374868,2010
"424","Eggs","E06000017",0.302747274,2010
"425","Fish","E06000017",1.125978435,2010
"426","Fruit","E06000017",1.943891441,2010
"427","Milk products","E06000017",2.926392988,2010
"428","Non alcoholic drinks","E06000017",1.361999985,2010
"429","Oils and fats","E06000017",0.371381199,2010
"430","Other","E06000017",1.276343914,2010
"431","Pasta","E06000017",0.178687982,2010
"432","Poultry","E06000017",0.878280603,2010
"433","Processed and Other Meat","E06000017",0.007714146,2010
"434","Processed Meat","E06000017",3.067623049,2010
"435","Red Meat","E06000017",1.447066084,2010
"436","Rice","E06000017",0.132502299,2010
"437","Sauces and spices","E06000017",0.087949552,2010
"438","Sugar confectionary and jam","E06000017",1.628674001,2010
"439","Takeaway","E06000017",1.681655187,2010
"440","Tea","E06000017",0.229389778,2010
"441","Tobacco","E06000017",1.955379862,2010
"442","Vegtables","E06000017",3.406301263,2010
"443","Alcohol at home","E06000018",2.476369151,2010
"444","Alcohol away from home","E06000018",2.586471044,2010
"445","Bread","E06000018",1.595957759,2010
"446","Butter","E06000018",0.128624271,2010
"447","Cakes puddings and pastry","E06000018",0.756074489,2010
"448","Coffee","E06000018",0.218809877,2010
"449","Eating out","E06000018",7.508871691,2010
"450","Eggs","E06000018",0.244209776,2010
"451","Fish","E06000018",0.834529305,2010
"452","Fruit","E06000018",1.503161361,2010
"453","Milk products","E06000018",2.28537851,2010
"454","Non alcoholic drinks","E06000018",1.218909246,2010
"455","Oils and fats","E06000018",0.320516078,2010
"456","Other","E06000018",1.049490811,2010
"457","Pasta","E06000018",0.165778613,2010
"458","Poultry","E06000018",0.753119462,2010
"459","Processed and Other Meat","E06000018",0.016155116,2010
"460","Processed Meat","E06000018",2.239155784,2010
"461","Red Meat","E06000018",1.083207672,2010
"462","Rice","E06000018",0.177579051,2010
"463","Sauces and spices","E06000018",0.089422113,2010
"464","Sugar confectionary and jam","E06000018",1.293394725,2010
"465","Takeaway","E06000018",1.702985994,2010
"466","Tea","E06000018",0.174442009,2010
"467","Tobacco","E06000018",1.836349351,2010
